X,Open,High,Low,Close,X1,X2,X3,X4,X5,X6,X7
1615680000.0,1922.35000000,1933.10000000,1836.00000000,1848.10000000,637963.63627000,1615766399999,1200354205.60335700,963564,301776.22952000,567878404.18293170,0
1615766400.0,1848.10000000,1891.76000000,1730.00000000,1793.48000000,1025326.79658000,1615852799999,1842608872.76306020,1496415,511041.33812000,918123974.55408360,0
1615852800.0,1793.99000000,1819.50000000,1711.68000000,1805.12000000,764993.40147000,1615939199999,1360127229.78991600,987906,388327.71998000,690760061.47753980,0
1615939200.0,1805.01000000,1838.88000000,1741.18000000,1823.58000000,658349.44843000,1616025599999,1177718486.96461370,872416,337373.92544000,603533782.44800500,0
1616025600.0,1823.58000000,1850.00000000,1759.04000000,1776.08000000,603721.61056000,1616111999999,1092346826.55369030,783517,284617.82364000,514992961.42729320,0
1616112000.0,1775.92000000,1840.61000000,1733.47000000,1809.10000000,500258.42875000,1616198399999,901801564.20232610,703977,250974.49054000,452606834.75388390,0
1616198400.0,1809.01000000,1868.83000000,1800.86000000,1806.10000000,451556.10639000,1616284799999,828404987.65277420,743672,230001.04734000,421947140.57311450,0
1616284800.0,1806.57000000,1817.16000000,1747.00000000,1782.98000000,465953.98749000,1616371199999,830951276.51307660,748800,227170.16353000,405242308.74646660,0
1616371200.0,1783.23000000,1807.51000000,1655.15000000,1680.97000000,582727.49081000,1616457599999,1019780398.78218940,879976,284682.99701000,498556293.27248210,0
1616457600.0,1681.17000000,1721.17000000,1650.00000000,1668.08000000,577213.99589000,1616543999999,975522491.06404260,654415,286791.61839000,484836342.00614680,0
1616544000.0,1668.20000000,1740.86000000,1536.92000000,1581.84000000,753834.52393000,1616630399999,1251031751.15638120,994542,360806.99166000,599730061.13798270,0
1616630400.0,1581.88000000,1622.00000000,1549.40000000,1585.74000000,701697.00258000,1616716799999,1115502879.62915160,778215,357916.02537000,569176818.69337150,0
1616716800.0,1585.83000000,1699.93000000,1585.79000000,1698.84000000,515470.92907000,1616803199999,844707873.91477140,650812,265021.09760000,434412049.54683700,0
1616803200.0,1698.84000000,1732.67000000,1666.41000000,1712.63000000,443845.49957000,1616889599999,753555521.64465620,516929,223163.53000000,378944599.81362170,0
1616889600.0,1712.52000000,1725.66000000,1661.40000000,1687.01000000,348895.51314000,1616975999999,592836644.59933920,512231,169502.24442000,288084679.28310710,0
1616976000.0,1687.16000000,1841.00000000,1677.85000000,1816.74000000,647724.46387000,1617062399999,1148231088.81158730,846836,342048.84150000,606329959.12347100,0
1617062400.0,1816.76000000,1859.13000000,1786.30000000,1840.46000000,568842.00526000,1617148799999,1039262033.38675560,856093,283746.67403000,518558427.24364170,0
1617148800.0,1840.41000000,1947.29000000,1768.15000000,1919.37000000,746995.85910000,1617235199999,1387448329.86186770,1040362,377271.88679000,700970286.07833920,0
1617235200.0,1919.37000000,1984.77000000,1885.02000000,1968.05000000,741585.07266000,1617321599999,1438751530.78722940,994836,371883.72089000,721736727.44501430,0
1617321600.0,1968.05000000,2146.00000000,1948.48000000,2133.69000000,846197.93215000,1617407999999,1719752062.51672840,1218698,436010.09375000,886653805.06916650,0
1617408000.0,2133.69000000,2138.12000000,1996.30000000,2008.52000000,770176.32192000,1617494399999,1601516390.59711510,1107620,363187.43008000,755374910.22590540,0
1617494400.0,2008.59000000,2091.83000000,1975.24000000,2075.69000000,514345.76554000,1617580799999,1050448906.44240220,818926,263875.56295000,538795778.14292030,0
1617580800.0,2075.70000000,2130.64000000,2002.15000000,2107.38000000,684923.61494000,1617667199999,1419084945.81378910,947978,343642.59997000,712219066.86574580,0
